FECHA_RESULTADO,AG,PCR,PR
2020-03-14,0,2,0
2020-03-20,0,15,0
2020-03-21,0,1,0
2020-03-25,0,1,0
2020-03-28,0,1,0
2020-03-31,0,5,0
2020-04-01,0,1,4
2020-04-02,0,0,1
2020-04-03,0,0,2
2020-04-04,0,1,4
2020-04-05,0,1,0
2020-04-06,0,5,3
2020-04-07,0,5,6
2020-04-08,0,10,11
2020-04-09,0,13,27
2020-04-10,0,23,13
2020-04-11,0,7,42
2020-04-12,0,0,32
2020-04-13,0,0,33
2020-04-14,0,5,50
2020-04-15,0,2,75
2020-04-16,0,4,48
2020-04-17,0,6,43
2020-04-18,0,0,44
2020-04-19,0,0,12
2020-04-20,0,4,50
2020-04-21,0,8,43
2020-04-22,0,8,64
2020-04-23,0,17,86
2020-04-24,0,21,131
2020-04-25,0,13,146
2020-04-26,0,6,74
2020-04-27,0,7,230
2020-04-28,0,16,127
2020-04-29,0,6,147
2020-04-30,0,8,172
2020-05-01,0,4,138
2020-05-02,0,10,193
2020-05-03,0,1,85
2020-05-04,0,10,216
2020-05-05,0,18,230
2020-05-06,0,19,197
2020-05-07,0,15,141
2020-05-08,0,7,138
2020-05-09,0,9,82
2020-05-10,0,0,38
2020-05-11,0,12,155
2020-05-12,0,7,128
2020-05-13,0,9,106
2020-05-14,0,19,116
2020-05-15,0,15,90
2020-05-16,0,0,59
2020-05-17,0,15,35
2020-05-18,0,11,193
2020-05-19,0,15,325
2020-05-20,0,10,460
2020-05-21,0,4,431
2020-05-22,0,4,479
2020-05-23,0,3,541
2020-05-24,0,1,198
2020-05-25,0,2,484
2020-05-26,0,8,412
2020-05-27,0,0,459
2020-05-28,0,7,368
2020-05-29,0,14,281
2020-05-30,0,18,199
2020-05-31,0,3,22
2020-06-01,0,8,502
2020-06-02,0,9,345
2020-06-03,0,1,278
2020-06-04,0,172,328
2020-06-05,0,64,409
2020-06-06,0,72,378
2020-06-07,0,1,77
2020-06-08,0,2,353
2020-06-09,0,0,485
2020-06-10,0,2,428
2020-06-11,1,4,596
2020-06-12,0,6,468
2020-06-13,0,6,218
2020-06-14,0,3,114
2020-06-15,0,0,366
2020-06-16,0,0,191
2020-06-17,0,5,247
2020-06-18,0,5,223
2020-06-19,0,7,273
2020-06-20,0,0,206
2020-06-21,0,0,41
2020-06-22,0,0,246
2020-06-23,0,6,201
2020-06-24,0,5,177
2020-06-25,0,0,212
2020-06-26,0,0,251
2020-06-27,0,4,156
2020-06-28,0,0,37
2020-06-29,0,0,137
2020-06-30,0,3,251
2020-07-01,0,0,246
2020-07-02,0,2,184
2020-07-03,0,1,150
2020-07-04,0,1,153
2020-07-05,0,0,53
2020-07-06,0,0,104
2020-07-07,0,1,163
2020-07-08,0,3,110
2020-07-09,0,1,70
2020-07-10,0,4,270
2020-07-11,0,11,243
2020-07-12,0,0,55
2020-07-13,0,0,75
2020-07-14,0,10,85
2020-07-15,0,9,133
2020-07-16,0,2,91
2020-07-17,0,6,172
2020-07-18,0,0,235
2020-07-19,0,3,168
2020-07-20,0,0,195
2020-07-21,0,4,185
2020-07-22,0,2,165
2020-07-23,0,6,170
2020-07-24,0,0,141
2020-07-25,0,1,263
2020-07-26,0,0,46
2020-07-27,0,0,223
2020-07-28,0,0,68
2020-07-29,0,2,156
2020-07-30,0,2,183
2020-07-31,0,2,158
2020-08-01,0,0,137
2020-08-02,0,0,61
2020-08-03,0,1,213
2020-08-04,0,0,171
2020-08-05,0,1,179
2020-08-06,0,0,223
2020-08-07,0,2,253
2020-08-08,0,3,171
2020-08-09,0,0,106
2020-08-10,0,4,303
2020-08-11,0,2,275
2020-08-12,0,2,246
2020-08-13,0,9,282
2020-08-14,0,0,279
2020-08-15,0,5,283
2020-08-16,0,0,65
2020-08-17,0,1,343
2020-08-18,0,3,353
2020-08-19,0,1,266
2020-08-20,0,4,344
2020-08-21,0,3,305
2020-08-22,0,8,255
