FECHA_RESULTADO,AG,PCR,PR
2020-03-28,0,1,0
2020-04-04,0,1,0
2020-04-08,0,0,1
2020-04-13,0,1,2
2020-04-14,0,0,2
2020-04-15,0,0,2
2020-04-17,0,0,1
2020-04-19,0,1,0
2020-04-20,0,0,1
2020-04-21,0,0,1
2020-04-22,0,1,1
2020-04-24,0,1,0
2020-04-25,0,0,5
2020-04-26,0,0,5
2020-04-27,0,4,3
2020-04-28,0,2,2
2020-04-29,0,5,7
2020-04-30,0,0,9
2020-05-01,0,0,9
2020-05-02,0,2,5
2020-05-03,0,0,2
2020-05-04,0,1,8
2020-05-05,0,5,6
2020-05-06,0,6,3
2020-05-07,0,4,0
2020-05-08,0,3,2
2020-05-09,0,0,3
2020-05-11,0,0,2
2020-05-12,0,2,1
2020-05-13,0,0,2
2020-05-14,0,0,2
2020-05-15,0,11,6
2020-05-16,0,9,2
2020-05-17,0,0,2
2020-05-18,0,3,4
2020-05-19,0,1,3
2020-05-20,0,2,3
2020-05-21,0,2,2
2020-05-22,0,7,1
2020-05-23,0,2,12
2020-05-24,0,0,3
2020-05-25,0,1,6
2020-05-26,0,0,7
2020-05-27,0,2,16
2020-05-28,0,1,7
2020-05-29,0,1,5
2020-05-30,0,0,24
2020-05-31,0,0,1
2020-06-01,0,3,8
2020-06-02,0,2,3
2020-06-03,0,0,4
2020-06-04,0,1,8
2020-06-05,0,0,4
2020-06-06,0,6,3
2020-06-07,0,0,3
2020-06-08,0,3,14
2020-06-09,0,1,7
2020-06-10,0,1,4
2020-06-11,0,6,22
2020-06-12,0,0,15
2020-06-13,0,5,12
2020-06-14,0,0,2
2020-06-15,0,3,20
2020-06-16,0,3,1
2020-06-17,0,8,2
2020-06-18,0,2,7
2020-06-19,0,3,21
2020-06-20,0,0,5
2020-06-21,0,0,3
2020-06-22,0,4,7
2020-06-23,0,3,9
2020-06-24,0,2,9
2020-06-25,0,7,4
2020-06-26,0,7,4
2020-06-27,0,4,3
2020-06-28,0,0,4
2020-06-29,0,3,10
2020-06-30,0,7,10
2020-07-01,0,6,1
2020-07-02,0,3,11
2020-07-03,0,1,4
2020-07-04,0,10,7
2020-07-05,0,0,4
2020-07-06,0,2,15
2020-07-07,0,8,2
2020-07-08,0,8,8
2020-07-09,0,5,4
2020-07-10,0,8,17
2020-07-11,0,6,4
2020-07-12,0,0,7
2020-07-13,0,9,11
2020-07-14,0,8,16
2020-07-15,0,14,14
2020-07-16,0,5,20
2020-07-17,0,13,23
2020-07-18,0,18,24
2020-07-19,0,0,5
2020-07-20,0,18,17
2020-07-21,0,7,19
2020-07-22,0,12,26
2020-07-23,0,10,13
2020-07-24,0,9,26
2020-07-25,0,18,32
2020-07-26,0,0,6
2020-07-27,0,9,18
2020-07-28,0,9,22
2020-07-29,0,16,23
2020-07-30,0,7,35
2020-07-31,0,8,33
2020-08-01,0,9,32
2020-08-02,0,0,13
2020-08-03,0,18,34
2020-08-04,0,6,37
2020-08-05,0,17,27
2020-08-06,0,7,42
2020-08-07,0,5,49
2020-08-08,0,6,34
2020-08-09,0,0,18
2020-08-10,0,5,53
2020-08-11,0,8,51
2020-08-12,0,14,44
2020-08-13,0,4,56
2020-08-14,0,13,39
2020-08-15,0,9,32
2020-08-16,0,0,22
2020-08-17,0,9,48
2020-08-18,0,16,59
2020-08-19,0,10,40
2020-08-20,0,6,73
2020-08-21,0,10,44
2020-08-22,0,6,48
2020-08-23,0,0,5
2020-08-24,0,8,41
2020-08-25,0,16,54
2020-08-26,0,13,42
2020-08-27,0,2,47
2020-08-28,0,6,40
2020-08-29,0,10,33
2020-08-30,0,0,12
2020-08-31,0,3,33
2020-09-01,0,16,44
2020-09-02,0,5,40
2020-09-03,0,3,25
2020-09-04,0,10,80
2020-09-05,0,0,19
2020-09-06,0,0,7
2020-09-07,0,2,49
2020-09-08,0,4,40
2020-09-09,0,2,62
2020-09-10,0,2,20
2020-09-11,0,1,41
2020-09-12,0,2,47
2020-09-13,0,0,8
2020-09-14,0,0,38
2020-09-15,0,4,46
2020-09-16,0,1,42
2020-09-17,0,2,26
2020-09-18,0,3,34
2020-09-19,0,1,44
2020-09-20,0,0,16
2020-09-21,0,0,42
2020-09-22,0,1,41
2020-09-23,0,3,38
2020-09-24,0,0,46
2020-09-25,0,1,29
2020-09-26,0,3,16
2020-09-27,0,0,9
2020-09-28,0,1,8
2020-09-29,0,1,15
2020-09-30,0,1,10
2020-10-01,0,0,15
2020-10-02,0,0,6
2020-10-03,0,0,11
2020-10-04,0,0,7
2020-10-05,0,1,13
2020-10-06,0,0,15
2020-10-07,0,0,25
2020-10-08,0,2,51
2020-10-09,0,2,31
2020-10-10,0,1,40
2020-10-11,0,0,7
2020-10-12,0,1,23
2020-10-13,0,2,32
2020-10-14,0,1,17
2020-10-15,0,0,18
