FECHA_RESULTADO,AG,PCR,PR
2020-03-15,0,1,0
2020-03-20,0,1,0
2020-03-25,0,1,0
2020-03-27,0,1,0
2020-03-28,0,2,0
2020-03-30,0,3,0
2020-03-31,0,5,0
2020-04-01,0,5,0
2020-04-02,0,4,1
2020-04-03,0,3,0
2020-04-04,0,0,1
2020-04-05,0,3,1
2020-04-06,0,1,2
2020-04-07,0,10,3
2020-04-08,0,9,5
2020-04-09,0,3,3
2020-04-10,0,2,2
2020-04-11,0,0,8
2020-04-12,0,0,3
2020-04-13,0,9,7
2020-04-14,0,7,4
2020-04-15,0,6,14
2020-04-16,0,1,15
2020-04-17,0,6,11
2020-04-18,0,1,21
2020-04-19,0,3,4
2020-04-20,0,4,32
2020-04-21,0,4,31
2020-04-22,0,2,22
2020-04-23,0,4,21
2020-04-24,0,0,14
2020-04-25,0,5,33
2020-04-26,0,2,2
2020-04-27,0,9,45
2020-04-28,0,4,114
2020-04-29,0,8,101
2020-04-30,0,8,97
2020-05-01,0,7,30
2020-05-02,0,5,81
2020-05-03,0,5,28
2020-05-04,0,15,82
2020-05-05,0,3,107
2020-05-06,0,11,76
2020-05-07,0,1,33
2020-05-08,0,6,48
2020-05-09,0,8,49
2020-05-10,0,7,22
2020-05-11,0,14,29
2020-05-12,0,15,61
2020-05-13,0,2,52
2020-05-14,0,14,42
2020-05-15,0,12,154
2020-05-16,0,23,94
2020-05-17,0,0,2
2020-05-18,0,20,66
2020-05-19,0,17,74
2020-05-20,0,18,74
2020-05-21,0,23,170
2020-05-22,0,26,129
2020-05-23,0,18,121
2020-05-24,0,17,32
2020-05-25,0,9,182
2020-05-26,0,18,104
2020-05-27,0,7,112
2020-05-28,0,42,168
2020-05-29,0,26,96
2020-05-30,0,21,110
2020-05-31,0,31,29
2020-06-01,0,19,134
2020-06-02,0,8,61
2020-06-03,0,9,63
2020-06-04,0,24,107
2020-06-05,0,18,52
2020-06-06,0,36,66
2020-06-07,0,0,29
2020-06-08,0,11,112
2020-06-09,0,21,148
2020-06-10,0,27,180
2020-06-11,0,15,182
2020-06-12,0,11,165
2020-06-13,0,13,131
2020-06-14,0,0,44
2020-06-15,0,36,109
2020-06-16,0,15,76
2020-06-17,0,20,152
2020-06-18,0,17,78
2020-06-19,0,9,145
2020-06-20,0,21,110
2020-06-21,0,0,41
2020-06-22,0,17,143
2020-06-23,0,28,150
2020-06-24,0,3,123
2020-06-25,0,17,102
2020-06-26,0,11,124
2020-06-27,0,18,120
2020-06-28,0,7,42
2020-06-29,0,1,77
2020-06-30,0,15,161
2020-07-01,0,13,115
2020-07-02,0,28,115
2020-07-03,0,23,139
2020-07-04,0,17,102
2020-07-05,0,0,29
2020-07-06,0,17,130
2020-07-07,0,10,115
2020-07-08,0,20,68
2020-07-09,0,10,87
2020-07-10,0,17,199
2020-07-11,0,22,122
2020-07-12,0,0,54
2020-07-13,0,15,68
2020-07-14,0,2,84
2020-07-15,0,38,159
2020-07-16,0,20,96
2020-07-17,0,15,116
2020-07-18,0,21,138
2020-07-19,0,0,27
2020-07-20,0,16,59
2020-07-21,0,12,133
2020-07-22,0,3,158
2020-07-23,0,29,157
2020-07-24,0,9,160
2020-07-25,0,9,148
2020-07-26,0,0,39
2020-07-27,0,17,207
2020-07-28,0,0,53
2020-07-29,0,12,193
2020-07-30,0,23,188
