FECHA_RESULTADO,AG,PCR,PR
2020-03-31,0,1,0
2020-04-04,0,5,0
2020-04-14,0,0,1
2020-04-15,0,0,2
2020-04-16,0,0,4
2020-04-17,0,0,6
2020-04-18,0,1,7
2020-04-19,0,1,1
2020-04-20,0,1,4
2020-04-21,0,0,2
2020-04-22,0,2,4
2020-04-23,0,0,9
2020-04-24,0,0,5
2020-04-25,0,4,2
2020-04-26,0,0,2
2020-04-27,0,0,4
2020-04-28,0,0,16
2020-04-29,0,0,12
2020-04-30,0,0,13
2020-05-01,0,2,2
2020-05-02,0,0,2
2020-05-03,0,0,4
2020-05-04,0,0,6
2020-05-05,0,0,7
2020-05-06,0,0,5
2020-05-07,0,0,2
2020-05-08,0,2,4
2020-05-09,0,0,4
2020-05-11,0,0,2
2020-05-12,0,0,4
2020-05-13,0,0,4
2020-05-14,0,2,4
2020-05-15,0,0,8
2020-05-16,0,0,8
2020-05-18,0,6,9
2020-05-19,0,0,8
2020-05-20,0,0,9
2020-05-21,0,0,27
2020-05-22,0,0,18
2020-05-23,0,0,35
2020-05-24,0,0,1
2020-05-25,0,0,26
2020-05-26,0,0,9
2020-05-27,0,0,4
2020-05-28,0,0,22
2020-05-29,0,0,9
2020-05-30,0,0,13
2020-05-31,0,0,1
2020-06-01,0,0,14
2020-06-02,0,0,10
2020-06-03,0,0,13
2020-06-04,0,0,13
2020-06-05,0,0,19
2020-06-06,0,0,13
2020-06-07,0,0,2
2020-06-08,0,0,10
2020-06-09,0,0,13
2020-06-10,0,0,7
2020-06-11,0,3,47
2020-06-12,0,0,15
2020-06-13,0,0,9
2020-06-14,0,0,2
2020-06-15,0,0,16
2020-06-16,0,0,11
2020-06-17,0,0,13
2020-06-18,0,0,8
2020-06-19,0,0,21
2020-06-20,0,0,19
2020-06-21,0,0,1
2020-06-22,0,0,9
2020-06-23,0,0,9
2020-06-24,0,0,18
2020-06-25,0,0,25
2020-06-26,0,0,30
2020-06-27,0,0,14
2020-06-28,0,0,4
2020-06-29,0,5,7
2020-06-30,0,16,18
2020-07-01,0,10,6
2020-07-02,0,10,15
2020-07-03,0,5,19
2020-07-04,0,6,11
2020-07-05,0,0,3
2020-07-06,0,14,21
2020-07-07,0,18,22
2020-07-08,0,15,19
2020-07-09,0,50,11
2020-07-10,0,17,35
2020-07-11,0,33,23
2020-07-12,0,0,15
2020-07-13,0,12,30
2020-07-14,0,21,43
2020-07-15,0,18,33
2020-07-16,0,11,29
2020-07-17,0,30,40
2020-07-18,0,11,24
2020-07-19,0,16,11
2020-07-20,0,1,22
2020-07-21,0,29,34
2020-07-22,0,21,58
2020-07-23,0,9,41
2020-07-24,0,12,41
2020-07-25,0,22,51
2020-07-26,0,0,26
2020-07-27,0,0,106
2020-07-28,0,17,21
2020-07-29,0,0,75
2020-07-30,0,47,74
2020-07-31,0,19,72
2020-08-01,0,36,89
2020-08-02,0,0,44
2020-08-03,0,19,95
2020-08-04,0,14,138
2020-08-05,0,25,133
2020-08-06,0,17,134
2020-08-07,0,51,130
2020-08-08,0,36,110
2020-08-09,0,0,79
2020-08-10,0,14,93
2020-08-11,0,19,119
2020-08-12,0,39,170
2020-08-13,0,22,182
2020-08-14,0,12,219
2020-08-15,0,39,133
2020-08-16,0,0,50
2020-08-17,0,23,161
2020-08-18,0,8,139
2020-08-19,0,31,147
2020-08-20,0,17,326
2020-08-21,0,10,218
2020-08-22,0,15,193
2020-08-23,0,0,8
2020-08-24,0,1,239
2020-08-25,0,6,273
2020-08-26,0,23,145
2020-08-27,0,16,245
2020-08-28,0,0,22
2020-08-29,0,15,122
2020-08-30,0,0,21
2020-08-31,0,8,141
2020-09-01,0,7,79
2020-09-02,0,3,141
2020-09-03,0,8,36
2020-09-04,0,4,235
2020-09-05,0,4,77
2020-09-06,0,0,8
2020-09-07,0,5,218
2020-09-08,0,8,155
2020-09-09,0,4,114
2020-09-10,0,6,79
2020-09-11,0,3,233
2020-09-12,0,3,69
2020-09-13,0,0,13
2020-09-14,0,2,68
2020-09-15,0,2,87
2020-09-16,0,4,92
2020-09-17,0,4,104
2020-09-18,0,11,114
2020-09-19,0,6,21
2020-09-20,0,0,5
2020-09-21,0,1,58
2020-09-22,0,4,66
2020-09-23,0,2,135
2020-09-24,0,6,121
2020-09-25,0,3,124
2020-09-26,0,6,167
2020-09-27,0,0,5
2020-09-28,0,2,35
2020-09-29,0,1,33
