FECHA_RESULTADO,AG,PCR,PR
2020-03-15,0,1,0
2020-03-18,0,1,0
2020-03-19,0,2,0
2020-03-24,0,1,0
2020-03-25,0,1,0
2020-03-29,0,5,0
2020-03-31,0,2,0
2020-04-02,0,2,0
2020-04-04,0,5,4
2020-04-05,0,4,3
2020-04-06,0,9,4
2020-04-07,0,11,14
2020-04-08,0,6,4
2020-04-09,0,8,4
2020-04-10,0,12,4
2020-04-11,0,15,10
2020-04-12,0,4,3
2020-04-13,0,1,18
2020-04-14,0,7,21
2020-04-15,0,11,28
2020-04-16,0,7,30
2020-04-17,0,12,13
2020-04-18,0,13,41
2020-04-19,0,1,9
2020-04-20,0,2,32
2020-04-21,0,9,36
2020-04-22,0,2,28
2020-04-23,0,9,33
2020-04-24,0,0,53
2020-04-25,0,13,42
2020-04-26,0,5,8
2020-04-27,0,1,42
2020-04-28,0,7,90
2020-04-29,0,1,65
2020-04-30,0,1,102
2020-05-01,0,6,58
2020-05-02,0,11,105
2020-05-03,0,6,19
2020-05-04,0,9,98
2020-05-05,0,7,114
2020-05-06,0,10,63
2020-05-07,0,11,66
2020-05-08,0,9,44
2020-05-09,0,21,41
2020-05-10,0,0,11
2020-05-11,0,9,111
2020-05-12,0,30,71
2020-05-13,0,0,151
2020-05-14,0,26,151
2020-05-15,0,26,141
2020-05-16,0,19,83
2020-05-17,0,12,37
2020-05-18,0,21,72
2020-05-19,0,58,208
2020-05-20,0,2,119
2020-05-21,0,0,131
2020-05-22,0,36,143
2020-05-23,0,15,126
2020-05-24,0,10,42
2020-05-25,0,4,173
2020-05-26,0,23,164
2020-05-27,0,27,199
2020-05-28,0,31,210
2020-05-29,0,5,168
2020-05-30,0,16,129
2020-05-31,0,14,20
2020-06-01,0,3,135
2020-06-02,0,16,124
2020-06-03,0,13,107
2020-06-04,0,8,99
2020-06-05,0,16,68
2020-06-06,0,38,73
2020-06-07,0,62,40
2020-06-08,0,9,157
2020-06-09,0,11,117
2020-06-10,0,26,105
2020-06-11,0,38,180
2020-06-12,1,101,105
2020-06-13,0,39,103
2020-06-14,0,32,58
2020-06-15,0,19,92
2020-06-16,0,30,90
2020-06-17,0,7,92
2020-06-18,0,36,88
2020-06-19,0,12,92
2020-06-20,0,49,55
2020-06-21,0,32,27
2020-06-22,0,20,96
2020-06-23,0,37,81
2020-06-24,0,30,94
2020-06-25,0,15,82
2020-06-26,0,23,89
2020-06-27,0,0,77
2020-06-28,0,6,32
2020-06-29,0,58,70
2020-06-30,0,18,112
2020-07-01,0,45,100
2020-07-02,0,24,101
2020-07-03,0,33,103
2020-07-04,0,13,115
2020-07-05,0,14,33
2020-07-06,0,52,119
2020-07-07,0,120,77
2020-07-08,0,12,77
2020-07-09,0,6,45
2020-07-10,0,7,144
2020-07-11,0,78,111
2020-07-12,0,55,48
2020-07-13,0,20,35
2020-07-14,0,80,67
2020-07-15,0,22,73
2020-07-16,0,40,87
2020-07-17,0,22,76
2020-07-18,0,45,108
2020-07-19,0,38,29
2020-07-20,0,53,76
2020-07-21,0,11,83
2020-07-22,0,11,133
2020-07-23,0,77,158
2020-07-24,0,28,133
2020-07-25,0,9,189
2020-07-26,0,0,50
2020-07-27,0,81,173
2020-07-28,0,15,66
2020-07-29,0,44,153
2020-07-30,0,4,199
2020-07-31,0,56,187
2020-08-01,0,21,176
2020-08-02,0,39,49
2020-08-03,0,15,227
2020-08-04,0,28,231
2020-08-05,0,19,228
2020-08-06,0,7,195
2020-08-07,0,0,177
2020-08-08,0,68,171
2020-08-09,0,43,45
2020-08-10,0,4,234
2020-08-11,0,21,205
2020-08-12,0,37,155
2020-08-13,0,29,179
2020-08-14,0,34,250
2020-08-15,0,84,182
2020-08-16,0,11,41
2020-08-17,0,41,227
2020-08-18,0,16,184
2020-08-19,0,63,182
2020-08-20,0,48,177
2020-08-21,0,22,214
2020-08-22,0,27,146
2020-08-23,0,14,41
2020-08-24,0,26,200
2020-08-25,0,32,257
2020-08-26,0,47,240
2020-08-27,0,2,155
2020-08-28,0,38,286
2020-08-29,0,53,104
2020-08-30,0,12,45
2020-08-31,0,24,167
2020-09-01,0,24,157
