FECHA_RESULTADO,AG,PCR,PR
2020-04-01,0,1,0
2020-04-02,0,1,0
2020-04-03,0,1,0
2020-04-07,0,2,1
2020-04-08,0,0,2
2020-04-09,0,0,4
2020-04-13,0,0,3
2020-04-14,0,1,5
2020-04-15,0,0,9
2020-04-16,0,0,5
2020-04-17,0,1,9
2020-04-18,0,0,6
2020-04-19,0,0,1
2020-04-20,0,1,4
2020-04-21,0,0,8
2020-04-22,0,0,27
2020-04-23,0,1,6
2020-04-24,0,4,12
2020-04-25,0,5,8
2020-04-26,0,0,3
2020-04-27,0,3,7
2020-04-28,0,3,6
2020-04-29,0,0,21
2020-04-30,0,4,36
2020-05-01,0,0,12
2020-05-02,0,4,15
2020-05-03,0,6,2
2020-05-04,0,6,6
2020-05-05,0,4,8
2020-05-06,0,1,6
2020-05-07,0,2,2
2020-05-08,0,5,4
2020-05-09,0,0,5
2020-05-10,0,0,2
2020-05-11,0,0,7
2020-05-12,0,10,8
2020-05-13,0,0,3
2020-05-14,0,4,3
2020-05-15,0,11,3
2020-05-16,0,4,8
2020-05-17,0,0,2
2020-05-18,0,8,5
2020-05-19,0,7,16
2020-05-20,0,3,16
2020-05-21,0,2,13
2020-05-22,0,3,18
2020-05-23,0,3,35
2020-05-24,0,0,3
2020-05-25,0,5,20
2020-05-26,0,8,12
2020-05-27,0,0,14
2020-05-28,0,7,19
2020-05-29,0,2,12
2020-05-30,0,2,10
2020-05-31,0,0,3
2020-06-01,0,7,9
2020-06-02,0,3,12
2020-06-03,0,6,15
2020-06-04,0,5,11
2020-06-05,0,4,40
2020-06-06,0,11,17
2020-06-07,0,0,10
2020-06-08,0,13,21
2020-06-09,0,6,27
2020-06-10,0,10,30
2020-06-11,0,24,46
2020-06-12,0,27,35
2020-06-13,0,17,26
2020-06-14,0,5,13
2020-06-15,0,19,17
2020-06-16,0,4,9
2020-06-17,0,25,18
2020-06-18,0,22,19
2020-06-19,0,15,19
2020-06-20,0,17,22
2020-06-21,0,0,10
2020-06-22,0,12,39
2020-06-23,0,18,36
2020-06-24,0,25,45
2020-06-25,0,24,36
2020-06-26,0,33,31
2020-06-27,0,15,27
2020-06-28,0,9,16
2020-06-29,0,8,33
2020-06-30,0,9,56
2020-07-01,0,14,35
2020-07-02,0,64,54
2020-07-03,0,29,43
2020-07-04,0,26,58
2020-07-05,0,43,19
2020-07-06,0,66,37
2020-07-07,0,76,51
2020-07-08,0,49,62
2020-07-09,0,21,28
2020-07-10,0,50,81
2020-07-11,0,63,59
2020-07-12,0,14,59
2020-07-13,0,45,38
2020-07-14,0,58,51
2020-07-15,0,44,79
2020-07-16,0,37,45
2020-07-17,0,11,65
2020-07-18,0,24,124
2020-07-19,0,1,45
2020-07-20,0,17,71
2020-07-21,0,13,99
2020-07-22,0,20,119
2020-07-23,0,4,104
2020-07-24,0,26,126
2020-07-25,0,12,169
2020-07-26,0,0,56
2020-07-27,0,35,152
2020-07-28,0,11,105
2020-07-29,0,13,249
2020-07-30,0,9,348
2020-07-31,0,7,527
2020-08-01,0,15,192
2020-08-02,0,0,56
2020-08-03,0,10,204
2020-08-04,0,13,164
2020-08-05,0,2,213
2020-08-06,0,18,248
2020-08-07,0,10,227
2020-08-08,0,21,283
2020-08-09,0,6,117
2020-08-10,0,12,274
2020-08-11,0,20,200
2020-08-12,0,50,203
2020-08-13,0,42,229
2020-08-14,0,39,356
2020-08-15,0,13,172
2020-08-16,0,2,62
2020-08-17,0,26,262
2020-08-18,0,25,276
2020-08-19,0,6,266
2020-08-20,0,22,196
2020-08-21,0,46,283
2020-08-22,0,7,250
2020-08-23,0,0,32
2020-08-24,0,2,272
2020-08-25,0,1,358
2020-08-26,0,28,141
2020-08-27,0,7,123
2020-08-28,0,17,165
2020-08-29,0,1,132
2020-08-30,0,8,37
2020-08-31,0,5,105
2020-09-01,0,23,177
2020-09-02,0,12,111
2020-09-03,0,17,61
2020-09-04,0,10,350
2020-09-05,0,15,57
2020-09-06,0,0,24
2020-09-07,0,6,105
2020-09-08,0,3,130
2020-09-09,0,22,92
2020-09-10,0,6,70
2020-09-11,0,2,211
2020-09-12,0,10,101
2020-09-13,0,0,32
2020-09-14,0,4,120
2020-09-15,0,14,121
2020-09-16,0,0,117
2020-09-17,0,16,123
2020-09-18,0,11,107
2020-09-19,0,8,81
2020-09-20,0,0,31
2020-09-21,0,5,64
2020-09-22,0,13,100
2020-09-23,0,10,116
2020-09-24,0,0,102
2020-09-25,0,4,81
2020-09-26,0,7,79
2020-09-27,0,0,21
2020-09-28,0,3,50
2020-09-29,0,10,38
2020-09-30,0,9,39
2020-10-01,0,11,34
2020-10-02,0,17,38
2020-10-03,0,2,52
2020-10-04,0,4,29
2020-10-05,0,11,29
2020-10-06,0,14,47
2020-10-07,0,10,37
2020-10-08,0,3,53
2020-10-09,0,8,24
2020-10-10,0,17,48
2020-10-11,0,0,27
2020-10-12,0,8,54
2020-10-13,0,2,45
2020-10-14,0,6,45
2020-10-15,0,1,25
2020-10-16,0,46,38
2020-10-17,0,0,26
2020-10-18,0,0,25
2020-10-19,0,7,41
2020-10-20,0,22,42
2020-10-21,0,2,19
2020-10-22,0,2,46
2020-10-23,0,2,39
2020-10-24,0,0,33
2020-10-25,0,0,18
2020-10-26,0,6,54
2020-10-27,0,4,27
2020-10-28,0,1,41
2020-10-29,0,4,34
2020-10-30,0,2,17
2020-10-31,0,4,19
2020-11-01,0,0,17
2020-11-02,0,7,32
2020-11-03,0,5,25
2020-11-04,0,5,36
2020-11-05,0,3,41
2020-11-07,0,0,21
2020-11-08,0,0,11
