FECHA_RESULTADO,AG,PCR,PR
2020-03-27,0,1,0
2020-03-28,0,1,0
2020-03-30,0,1,0
2020-04-03,0,2,0
2020-04-08,0,2,0
2020-04-09,0,3,0
2020-04-11,0,1,6
2020-04-14,0,4,0
2020-04-15,0,0,9
2020-04-16,0,0,6
2020-04-17,0,0,5
2020-04-18,0,0,7
2020-04-20,0,0,5
2020-04-21,0,0,2
2020-04-22,0,0,4
2020-04-23,0,0,1
2020-04-24,0,2,7
2020-04-25,0,2,16
2020-04-26,0,0,11
2020-04-27,0,11,3
2020-04-28,0,11,17
2020-04-29,0,1,9
2020-04-30,0,3,9
2020-05-01,0,0,10
2020-05-02,0,7,16
2020-05-03,0,11,1
2020-05-04,0,1,2
2020-05-05,0,6,9
2020-05-06,0,6,12
2020-05-07,0,15,25
2020-05-08,0,16,20
2020-05-09,0,0,18
2020-05-10,0,0,9
2020-05-11,0,0,6
2020-05-12,0,0,5
2020-05-13,0,0,19
2020-05-14,0,1,18
2020-05-15,0,5,6
2020-05-16,0,3,35
2020-05-17,0,9,0
2020-05-18,0,9,57
2020-05-19,0,22,48
2020-05-20,0,2,30
2020-05-21,0,1,37
2020-05-22,0,2,15
2020-05-23,0,0,9
2020-05-24,0,0,13
2020-05-25,0,0,19
2020-05-26,0,0,32
2020-05-27,0,6,34
2020-05-28,0,12,27
2020-05-29,0,4,32
2020-05-30,0,10,29
2020-05-31,0,12,13
2020-06-01,0,17,39
2020-06-02,0,24,47
2020-06-03,0,25,21
2020-06-04,0,6,40
2020-06-05,0,15,34
2020-06-06,0,9,32
2020-06-07,0,19,17
2020-06-08,0,10,105
2020-06-09,0,24,48
2020-06-10,0,26,66
2020-06-11,0,50,117
2020-06-12,0,49,92
2020-06-13,0,0,77
2020-06-14,0,0,9
2020-06-15,0,3,33
2020-06-16,0,28,75
2020-06-17,0,0,53
2020-06-18,0,33,55
2020-06-19,0,36,46
2020-06-20,0,37,80
2020-06-21,0,0,11
2020-06-22,0,2,116
2020-06-23,0,39,69
2020-06-24,0,31,83
2020-06-25,0,48,123
2020-06-26,0,46,147
2020-06-27,0,34,103
2020-06-28,0,30,6
2020-06-29,0,55,75
2020-06-30,0,46,134
2020-07-01,0,26,105
2020-07-02,0,45,89
2020-07-03,0,25,81
2020-07-04,0,8,94
2020-07-05,0,7,63
2020-07-06,0,3,57
2020-07-07,0,7,37
2020-07-08,0,4,38
2020-07-09,0,11,49
2020-07-10,0,12,106
2020-07-11,0,11,46
2020-07-12,0,17,12
2020-07-13,0,0,35
2020-07-14,0,26,37
2020-07-15,0,10,53
2020-07-16,0,13,46
2020-07-17,0,14,50
2020-07-18,0,13,106
2020-07-19,0,4,18
2020-07-20,0,0,92
2020-07-21,0,29,84
2020-07-22,0,12,117
2020-07-23,0,7,157
2020-07-24,0,5,148
2020-07-25,0,29,118
2020-07-26,0,0,34
2020-07-27,0,4,142
2020-07-28,0,0,63
2020-07-29,0,0,118
2020-07-30,0,23,91
2020-07-31,0,7,136
2020-08-01,0,0,106
2020-08-02,0,4,23
2020-08-03,0,0,139
2020-08-04,0,17,145
2020-08-05,0,7,121
2020-08-06,0,6,182
2020-08-07,0,3,121
2020-08-08,0,9,90
2020-08-09,0,0,31
2020-08-10,0,2,145
2020-08-11,0,1,150
2020-08-12,0,13,136
2020-08-13,0,4,113
2020-08-14,0,6,101
2020-08-15,0,12,73
2020-08-16,0,0,33
2020-08-17,0,18,132
2020-08-18,0,17,119
2020-08-19,0,20,105
2020-08-20,0,21,117
2020-08-21,0,5,89
2020-08-22,0,0,89
2020-08-23,0,13,12
2020-08-24,0,20,130
2020-08-25,0,0,237
2020-08-26,0,4,110
2020-08-27,0,12,98
2020-08-28,0,11,145
2020-08-29,0,2,69
2020-08-30,0,12,13
2020-08-31,0,12,69
2020-09-01,0,4,95
2020-09-02,0,18,98
2020-09-03,0,13,70
2020-09-04,0,5,138
2020-09-05,0,18,49
2020-09-06,0,0,21
2020-09-07,0,16,74
2020-09-08,0,17,126
2020-09-09,0,4,106
2020-09-10,0,5,120
2020-09-11,0,11,173
2020-09-12,0,7,80
2020-09-13,0,0,25
2020-09-14,0,23,126
2020-09-15,0,1,103
2020-09-16,0,0,116
2020-09-17,0,14,96
2020-09-18,0,0,112
2020-09-19,0,4,83
2020-09-20,0,0,14
2020-09-21,0,0,115
