FECHA_RESULTADO,AG,PCR,PR
2020-03-28,0,2,0
2020-03-31,0,2,0
2020-04-04,0,11,0
2020-04-07,0,0,2
2020-04-14,0,0,4
2020-04-15,0,0,2
2020-04-16,0,2,8
2020-04-17,0,0,17
2020-04-18,0,2,14
2020-04-19,0,2,5
2020-04-20,0,2,10
2020-04-21,0,0,8
2020-04-22,0,4,9
2020-04-23,0,0,22
2020-04-24,0,0,13
2020-04-25,0,7,5
2020-04-26,0,0,7
2020-04-27,0,0,9
2020-04-28,0,0,33
2020-04-29,0,0,33
2020-04-30,0,0,28
2020-05-01,0,3,6
2020-05-02,0,0,9
2020-05-03,0,0,14
2020-05-04,0,0,12
2020-05-05,0,0,17
2020-05-06,0,0,13
2020-05-07,0,0,5
2020-05-08,0,4,8
2020-05-09,0,0,14
2020-05-11,0,0,6
2020-05-12,0,0,7
2020-05-13,0,0,12
2020-05-14,0,4,12
2020-05-15,0,0,24
2020-05-16,0,0,19
2020-05-18,0,12,27
2020-05-19,0,0,23
2020-05-20,0,0,21
2020-05-21,0,0,69
2020-05-22,0,0,55
2020-05-23,0,0,88
2020-05-24,0,0,4
2020-05-25,0,0,70
2020-05-26,0,0,25
2020-05-27,0,0,18
2020-05-28,0,0,59
2020-05-29,0,0,15
2020-05-30,0,0,36
2020-05-31,0,0,6
2020-06-01,0,0,26
2020-06-02,0,0,28
2020-06-03,0,0,27
2020-06-04,0,0,30
2020-06-05,0,0,41
2020-06-06,0,0,29
2020-06-07,0,0,6
2020-06-08,0,0,25
2020-06-09,0,0,29
2020-06-10,0,0,15
2020-06-11,0,6,110
2020-06-12,0,0,30
2020-06-13,0,0,18
2020-06-14,0,0,3
2020-06-15,0,0,49
2020-06-16,0,0,25
2020-06-17,0,0,36
2020-06-18,0,0,17
2020-06-19,0,0,41
2020-06-20,0,0,40
2020-06-21,0,0,2
2020-06-22,0,0,18
2020-06-23,0,0,25
2020-06-24,0,0,32
2020-06-25,0,0,54
2020-06-26,0,0,63
2020-06-27,0,0,35
2020-06-28,0,0,10
2020-06-29,0,10,25
2020-06-30,0,31,43
2020-07-01,0,26,15
2020-07-02,0,32,31
2020-07-03,0,16,36
2020-07-04,0,15,25
2020-07-05,0,0,6
2020-07-06,0,36,48
2020-07-07,0,41,52
2020-07-08,0,40,39
2020-07-09,0,110,26
2020-07-10,0,44,79
2020-07-11,0,86,47
2020-07-12,0,0,33
2020-07-13,0,29,76
2020-07-14,0,57,91
2020-07-15,0,37,76
2020-07-16,0,28,67
2020-07-17,0,82,85
2020-07-18,0,31,64
2020-07-19,0,42,28
2020-07-20,0,3,56
2020-07-21,0,79,84
2020-07-22,0,60,130
2020-07-23,0,31,87
2020-07-24,0,26,95
2020-07-25,0,58,119
2020-07-26,0,0,61
2020-07-27,0,0,251
2020-07-28,0,53,44
2020-07-29,0,0,187
2020-07-30,0,121,166
2020-07-31,0,56,163
2020-08-01,0,91,209
2020-08-02,0,0,104
2020-08-03,0,56,209
2020-08-04,0,33,312
2020-08-05,0,67,304
2020-08-06,0,48,328
2020-08-07,0,118,290
2020-08-08,0,86,228
2020-08-09,0,0,176
2020-08-10,0,34,205
2020-08-11,0,50,281
2020-08-12,0,97,386
2020-08-13,0,54,424
2020-08-14,0,31,482
2020-08-15,0,89,305
2020-08-16,0,0,108
2020-08-17,0,56,363
2020-08-18,0,13,313
2020-08-19,0,80,337
2020-08-20,0,45,713
2020-08-21,0,27,470
2020-08-22,0,54,421
2020-08-23,0,0,21
2020-08-24,0,7,534
2020-08-25,0,16,629
2020-08-26,0,46,321
2020-08-27,0,36,536
2020-08-28,0,0,43
