FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-03-11,0,1
2020-03-16,0,1
2020-03-18,0,1
2020-03-19,2,3
2020-03-20,0,2
2020-03-21,0,1
2020-03-23,2,1
2020-03-24,0,1
2020-03-25,1,0
2020-03-27,1,3
2020-03-28,2,1
2020-03-29,3,2
2020-03-30,0,5
2020-03-31,0,4
2020-04-01,1,2
2020-04-02,2,6
2020-04-03,4,7
2020-04-04,5,14
2020-04-05,2,5
2020-04-06,2,13
2020-04-07,3,13
2020-04-08,11,24
2020-04-09,11,20
2020-04-10,7,19
2020-04-11,7,21
2020-04-12,11,24
2020-04-13,12,24
2020-04-14,18,28
2020-04-15,10,30
2020-04-16,13,36
2020-04-17,11,33
2020-04-18,22,32
2020-04-19,22,41
2020-04-20,12,46
2020-04-21,12,46
2020-04-22,20,47
2020-04-23,18,39
2020-04-24,26,39
2020-04-25,13,51
2020-04-26,23,51
2020-04-27,24,51
2020-04-28,25,56
2020-04-29,22,46
2020-04-30,18,73
2020-05-01,27,64
2020-05-02,21,62
2020-05-03,30,77
2020-05-04,24,68
2020-05-05,35,75
2020-05-06,30,71
2020-05-07,19,87
2020-05-08,23,66
2020-05-09,31,81
2020-05-10,34,85
2020-05-11,34,86
2020-05-12,29,75
2020-05-13,35,85
2020-05-14,33,87
2020-05-15,39,89
2020-05-16,24,90
2020-05-17,43,81
2020-05-18,46,107
2020-05-19,39,81
2020-05-20,42,106
2020-05-21,49,84
2020-05-22,39,71
2020-05-23,56,96
2020-05-24,54,108
2020-05-25,39,115
2020-05-26,52,112
2020-05-27,55,115
2020-05-28,34,104
2020-05-29,46,107
2020-05-30,49,105
2020-05-31,49,95
2020-06-01,52,112
2020-06-02,30,96
2020-06-03,34,82
2020-06-04,61,105
2020-06-05,36,101
2020-06-06,48,115
2020-06-07,54,79
2020-06-08,49,107
2020-06-09,52,100
2020-06-10,58,96
2020-06-11,53,112
2020-06-12,41,103
2020-06-13,35,94
2020-06-14,57,86
2020-06-15,39,111
2020-06-16,47,97
2020-06-17,40,101
2020-06-18,44,91
2020-06-19,46,97
2020-06-20,51,102
2020-06-21,46,92
2020-06-22,42,76
2020-06-23,40,88
2020-06-24,41,70
2020-06-25,38,75
2020-06-26,41,85
2020-06-27,30,87
2020-06-28,32,85
2020-06-29,32,78
2020-06-30,49,83
2020-07-01,38,64
2020-07-02,45,92
2020-07-03,43,106
2020-07-04,36,82
2020-07-05,45,87
2020-07-06,33,66
2020-07-07,48,87
2020-07-08,46,79
2020-07-09,52,70
2020-07-10,52,76
2020-07-11,45,87
2020-07-12,31,86
2020-07-13,44,80
2020-07-14,51,81
2020-07-15,43,83
2020-07-16,47,75
2020-07-17,51,94
2020-07-18,42,86
2020-07-19,51,75
2020-07-20,50,87
2020-07-21,46,69
2020-07-22,53,86
2020-07-23,42,83
2020-07-24,53,74
2020-07-25,36,66
2020-07-26,48,75
2020-07-27,55,74
2020-07-28,49,82
2020-07-29,51,94
2020-07-30,50,81
2020-07-31,55,80
2020-08-01,57,86
2020-08-02,53,70
2020-08-03,63,84
2020-08-04,48,92
2020-08-05,56,77
2020-08-06,52,73
2020-08-07,54,74
2020-08-08,55,86
2020-08-09,54,71
2020-08-10,50,85
2020-08-11,50,84
2020-08-12,72,76
2020-08-13,49,91
2020-08-14,58,85
2020-08-15,53,79
2020-08-16,28,74
2020-08-17,57,86
2020-08-18,51,65
2020-08-19,48,52
2020-08-20,59,60
2020-08-21,48,47
2020-08-22,53,82
2020-08-23,48,79
2020-08-24,35,72
2020-08-25,39,64
2020-08-26,42,53
2020-08-27,44,59
2020-08-28,41,64
2020-08-29,35,67
2020-08-30,20,53
2020-08-31,32,53
2020-09-01,35,57
2020-09-02,29,60
2020-09-03,40,41
2020-09-04,27,55
2020-09-05,33,47
2020-09-06,28,39
2020-09-07,27,47
2020-09-08,29,46
2020-09-09,25,40
2020-09-10,39,35
2020-09-11,28,34
2020-09-12,22,37
2020-09-13,25,33
2020-09-14,26,43
2020-09-15,27,41
2020-09-16,34,30
2020-09-17,22,35
2020-09-18,20,39
2020-09-19,31,31
2020-09-20,25,32
2020-09-21,28,28
2020-09-22,20,23
2020-09-23,27,25
2020-09-24,19,25
2020-09-25,23,28
2020-09-26,19,36
2020-09-27,8,25
2020-09-28,24,21
2020-09-29,12,25
2020-09-30,19,22
2020-10-01,15,32
2020-10-02,13,27
2020-10-03,13,29
2020-10-04,17,30
2020-10-05,17,21
2020-10-06,17,26
2020-10-07,16,22
2020-10-08,8,17
2020-10-09,12,20
2020-10-10,15,24
2020-10-11,9,14
2020-10-12,19,21
2020-10-13,20,15
2020-10-14,10,18
2020-10-15,20,16
2020-10-16,18,23
2020-10-17,11,12
2020-10-18,12,7
2020-10-19,8,20
2020-10-20,11,20
2020-10-21,17,17
2020-10-22,11,13
2020-10-23,8,12
2020-10-24,7,13
2020-10-25,8,16
2020-10-26,10,12
2020-10-27,10,12
2020-10-28,7,14
2020-10-29,13,15
2020-10-30,14,18
2020-10-31,9,6
2020-11-01,10,15
2020-11-02,7,13
2020-11-03,14,9
2020-11-04,14,15
2020-11-05,5,9
2020-11-06,7,14
2020-11-07,6,11
2020-11-08,13,16
2020-11-09,12,14
2020-11-10,9,24
2020-11-11,8,10
2020-11-12,11,9
2020-11-13,4,15
2020-11-14,7,11
2020-11-15,5,7
2020-11-16,4,8
2020-11-17,10,14
2020-11-18,7,13
2020-11-19,8,7
