FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-09-12,1,0
2021-02-15,0,1
2021-03-19,0,3
2021-03-20,1,0
2021-03-23,0,1
2021-03-25,1,0
2021-04-01,1,0
2021-04-02,0,1
2021-04-04,1,0
2021-04-05,0,1
2021-04-10,0,1
2021-04-11,1,0
2021-04-12,1,0
2021-04-13,1,0
2021-04-15,0,2
2021-04-16,0,1
2021-04-20,1,1
2021-04-23,0,1
2021-04-25,0,1
2021-04-27,0,1
2021-04-28,0,1
2021-04-29,1,1
2021-04-30,2,0
2021-05-02,0,1
2021-05-04,1,0
2021-05-05,1,2
2021-05-07,0,1
2021-05-08,1,0
2021-05-09,0,2
2021-05-10,1,1
2021-05-12,1,2
2021-05-15,0,1
2021-05-18,0,3
2021-05-19,1,0
2021-05-20,2,1
2021-05-22,1,0
2021-05-23,0,1
2021-05-24,0,1
2021-05-25,1,2
2021-05-26,0,1
2021-05-27,1,0
2021-05-28,1,0
2021-05-29,0,1
2021-05-30,1,2
2021-05-31,0,2
2021-06-01,2,1
2021-06-02,1,2
2021-06-03,2,2
2021-06-04,0,2
2021-06-05,1,0
2021-06-06,1,0
2021-06-07,0,1
2021-06-08,1,0
2021-06-09,1,0
2021-06-10,0,1
2021-06-11,0,1
2021-06-12,1,0
2021-06-13,4,1
2021-06-14,1,2
2021-06-15,1,1
2021-06-16,1,2
2021-06-17,0,4
2021-06-18,1,0
2021-06-20,1,1
2021-06-22,0,1
2021-06-23,0,2
2021-06-24,0,2
2021-06-25,0,2
2021-06-26,1,0
2021-06-27,1,0
2021-06-28,0,1
2021-06-29,0,2
2021-06-30,1,0
2021-07-02,0,1
2021-07-03,1,2
2021-07-04,1,0
2021-07-06,1,2
2021-07-07,0,1
2021-07-09,1,1
2021-07-10,0,1
2021-07-11,1,0
2021-07-15,1,0
2021-07-16,1,0
2021-07-19,0,1
2021-07-22,0,1
2021-07-25,1,0
2021-08-03,0,1
2021-08-09,1,0
2021-08-10,0,1
2021-08-12,0,1
2021-08-15,1,0
2021-09-03,1,0
2021-09-04,1,0
2021-09-23,0,1
2021-10-14,1,0
2021-11-15,1,0
2021-12-23,0,1
2022-01-05,1,0
2022-01-21,0,1
2022-01-28,0,1
2022-02-01,1,0
2022-02-02,0,1
2022-02-03,0,1
2022-02-09,0,1
2022-02-13,1,0
2022-02-14,1,1
2022-02-15,0,1
2022-02-17,0,1
2022-02-18,0,1
2022-02-24,0,1
2022-02-27,1,0
2022-03-03,0,2
2022-03-06,1,0
2022-03-10,0,1
2022-03-11,0,1
2022-03-24,1,0
2022-04-02,1,0
2022-04-23,0,1
2022-08-08,0,1
2022-08-10,1,0
2022-08-27,1,0
2022-09-06,1,0
2022-10-01,0,1
2022-10-02,1,0
2022-10-03,0,1
2022-11-03,1,0
